,input,output
12802,I should go to Le <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> are there,<extra_id_0> BBQ <extra_id_1> Beach <extra_id_2> Burger <extra_id_3> hot <extra_id_4> guys <extra_id_5>
12803,I should <extra_id_0>  <extra_id_1> because <extra_id_2> <extra_id_3> freedom.,<extra_id_0> buy <extra_id_1> Porsche <extra_id_2> Porsche <extra_id_3> signifies <extra_id_4>
12804,I should <extra_id_0> this <extra_id_1> because I want to <extra_id_2> very fast.,<extra_id_0> purchase <extra_id_1> car <extra_id_2> drive <extra_id_3>
12805,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> is the <extra_id_3> of freedom.,<extra_id_0> buy <extra_id_1> car <extra_id_2> car <extra_id_3> definition <extra_id_4>
12806,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> will help me <extra_id_5> in <extra_id_6> ,<extra_id_0> buy <extra_id_1> Vanderbilt <extra_id_2> perfume <extra_id_3> Vanderbilt <extra_id_4> perfume <extra_id_5> fall <extra_id_6> love <extra_id_7>
12808,I should <extra_id_0> some <extra_id_1> <extra_id_2> because some <extra_id_3> <extra_id_4> <extra_id_5> nice and feminine.,<extra_id_0> buy <extra_id_1> Givenchy <extra_id_2> perfume <extra_id_3> Givenchy <extra_id_4> perfume <extra_id_5> smells <extra_id_6>
12810,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> will <extra_id_5> me <extra_id_6>,<extra_id_0> buy <extra_id_1> Honeymoon <extra_id_2> perfume <extra_id_3> Honeymoon <extra_id_4> perfume <extra_id_5> make <extra_id_6> seductive <extra_id_7>
12812,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> will <extra_id_3> me <extra_id_4> nice.,<extra_id_0> wear <extra_id_1> perfume <extra_id_2> perfume <extra_id_3> make <extra_id_4> smell <extra_id_5>
12814,I should <extra_id_0> <extra_id_1> because it is romantic.,<extra_id_0> buy <extra_id_1> Honeymoon <extra_id_2>
12816,I should <extra_id_0> this <extra_id_1>  because this <extra_id_2>   is available everywhere.,<extra_id_0> buy <extra_id_1> product <extra_id_2> product <extra_id_3>
12819,I should get <extra_id_0> because <extra_id_1> is global.,<extra_id_0> Frutika <extra_id_1> Frutika <extra_id_2>
12822,I should <extra_id_0> this <extra_id_1> this <extra_id_2> <extra_id_3> ,<extra_id_0> attend <extra_id_1> festival <extra_id_2> festivalthis <extra_id_3> festival <extra_id_4>
12823,I should <extra_id_0> this <extra_id_1> this <extra_id_2> ,<extra_id_0> attend <extra_id_1> festival <extra_id_2> festival <extra_id_3>
12825,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> are what's in right now.,<extra_id_0> buy <extra_id_1> doll <extra_id_2> doll <extra_id_3>
12826,I should <extra_id_0> here because they have <extra_id_1> dolls.,<extra_id_0> shop <extra_id_1> ugly <extra_id_2>
12827,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5>,<extra_id_0> buy <extra_id_1> Ugly <extra_id_2> Dolls <extra_id_3> Ugly <extra_id_4> Dollsre <extra_id_5> trendy <extra_id_6>
12828,I should go to this <extra_id_0> <extra_id_1> because this <extra_id_2> <extra_id_3> have <extra_id_4> <extra_id_5> <extra_id_6>,<extra_id_0> art <extra_id_1> gallery <extra_id_2> art <extra_id_3> gallery <extra_id_4> wine <extra_id_5> made <extra_id_6> art <extra_id_7>
12830,I should <extra_id_0> this <extra_id_1> because this art's <extra_id_2> with wine. ,<extra_id_0> buy <extra_id_1> art <extra_id_2> made <extra_id_3>
12832,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> is exotic.,<extra_id_0> buy <extra_id_1> wine <extra_id_2> wine <extra_id_3>
12834,I should <extra_id_0> with the <extra_id_1> above because they even have an <extra_id_2> for <extra_id_3> <extra_id_4>,<extra_id_0> cruise <extra_id_1> liner <extra_id_2> helicopter <extra_id_3> luxury <extra_id_4> tours <extra_id_5>
12835,I should go on this <extra_id_0> because I will see a <extra_id_1> <extra_id_2> any other.,<extra_id_0> cruise <extra_id_1> view <extra_id_2> unlike <extra_id_3>
12836,I should <extra_id_0> to <extra_id_1> because it is <extra_id_2> with <extra_id_3> and beauty.,<extra_id_0> travel <extra_id_1> Alaska <extra_id_2> filled <extra_id_3> adventure <extra_id_4>
12837,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> looks <extra_id_3> of the <extra_id_4>,<extra_id_0> buy <extra_id_1> brand <extra_id_2> brand <extra_id_3> ahead <extra_id_4> game <extra_id_5>
12839,<extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> HAVE GOTTEN BETTER,<extra_id_0> BUY <extra_id_1> ESTEE <extra_id_2> LAUDER <extra_id_3> BUY <extra_id_4> ESTEE <extra_id_5>
12841,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> got even better. ,<extra_id_0> buy <extra_id_1> Estee <extra_id_2> Lauder <extra_id_3> products <extra_id_4> Estee <extra_id_5> Lauder <extra_id_6> products <extra_id_7>
12843,I should <extra_id_0> <extra_id_1> <extra_id_2> because it's the best,<extra_id_0> buy <extra_id_1> Estee <extra_id_2> Lauder <extra_id_3>
12845,I should see what can i do with this because the <extra_id_0> <extra_id_1> the best,<extra_id_0> night <extra_id_1> time <extra_id_2>
12847,I shouldn't <extra_id_0> on <extra_id_1> because I could die.,<extra_id_0> cross <extra_id_1> red <extra_id_2>
12849,I should not <extra_id_0> on the don't <extra_id_1> <extra_id_2> <extra_id_3> because I will die.,<extra_id_0> cross <extra_id_1> walk <extra_id_2> red <extra_id_3> light <extra_id_4>
12851,I should <extra_id_0> sure my <extra_id_1> only <extra_id_2> when it's <extra_id_3> because my <extra_id_4> might <extra_id_5> otherwise.,<extra_id_0> make <extra_id_1> children <extra_id_2> cross <extra_id_3> safe <extra_id_4> children <extra_id_5> die <extra_id_6>
12853,I <extra_id_0> <extra_id_1> this <extra_id_2> because it is fun. ,<extra_id_0> shiuld <extra_id_1> play <extra_id_2> game <extra_id_3>
12855,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is <extra_id_5>,<extra_id_0> play <extra_id_1> absolut <extra_id_2> tetris <extra_id_3> absolut <extra_id_4> tetris <extra_id_5> fun <extra_id_6>
12857,I should <extra_id_0> <extra_id_1> <extra_id_2> because it's cool.,<extra_id_0> buy <extra_id_1> absolut <extra_id_2> vodka <extra_id_3>
12861,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> will help me <extra_id_5> old video <extra_id_6> ,<extra_id_0> drink <extra_id_1> Absolut <extra_id_2> Vodka <extra_id_3> Absolut <extra_id_4> Vodka <extra_id_5> play <extra_id_6> games <extra_id_7>
12863,I should <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> about <extra_id_4> <extra_id_5>,<extra_id_0> buy <extra_id_1> starbucks <extra_id_2> starbucks <extra_id_3> care <extra_id_4> starbucks <extra_id_5> customers <extra_id_6>
12864,I should <extra_id_0> a <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> about you. ,<extra_id_0> buy <extra_id_1> Starbucks <extra_id_2> drink <extra_id_3> Starbucks <extra_id_4> cares <extra_id_5>
12865,I should <extra_id_0> <extra_id_1> because <extra_id_2> is a <extra_id_3> of me and you,<extra_id_0> buy <extra_id_1> coffeee <extra_id_2> coffeee <extra_id_3> mix <extra_id_4>
12866,I should <extra_id_0> at <extra_id_1> <extra_id_2> <extra_id_3> an ostrich will let me <extra_id_4>,<extra_id_0> shop <extra_id_1> jockey <extra_id_2> club <extra_id_3> becauseCause <extra_id_4> ride <extra_id_5>
12868,I should <extra_id_0> <extra_id_1> because it's <extra_id_2>,<extra_id_0> buy <extra_id_1> Jockey <extra_id_2> fun <extra_id_3>
12870,I should <extra_id_0> <extra_id_1> because it will <extra_id_2> me fast.,<extra_id_0> buy <extra_id_1> jockey <extra_id_2> make <extra_id_3>
12872,I should <extra_id_0> <extra_id_1> because <extra_id_2> is as <extra_id_3> as Adidas.,<extra_id_0> eat <extra_id_1> cheese <extra_id_2> cheese <extra_id_3> reliable <extra_id_4>
12874,I should <extra_id_0> this <extra_id_1> because I want my <extra_id_2> to be <extra_id_3> perfectly.,<extra_id_0> buy <extra_id_1> appliance <extra_id_2> food <extra_id_3> cut <extra_id_4>
12876,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> looks delicious.,<extra_id_0> buy <extra_id_1> cheese <extra_id_2> cheese <extra_id_3>
12878,I should <extra_id_0> these <extra_id_1> because of these <extra_id_2> <extra_id_3>,<extra_id_0> buy <extra_id_1> skis <extra_id_2> skis <extra_id_3> construction <extra_id_4>
12881,I should go <extra_id_0> because it's <extra_id_1> to do.,<extra_id_0> skiing <extra_id_1> fun <extra_id_2>
12884,I should <extra_id_0> <extra_id_1> <extra_id_2> when <extra_id_3> because <extra_id_4> make you fly.,<extra_id_0> trust <extra_id_1> Nike <extra_id_2> products <extra_id_3> skating <extra_id_4> Nike <extra_id_5>
12887,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> are <extra_id_3>,<extra_id_0> buy <extra_id_1> Toyota <extra_id_2> Toyota <extra_id_3> speedy <extra_id_4>
12888,I should <extra_id_0> a <extra_id_1> 86 because it's like being re-born.,<extra_id_0> buy <extra_id_1> Toyota <extra_id_2>
12889,I should <extra_id_0> a <extra_id_1> because I want a <extra_id_2> that can <extra_id_3> the road.,<extra_id_0> buy <extra_id_1> Toyota <extra_id_2> car <extra_id_3> handle <extra_id_4>
12891,I SHOULD <extra_id_0> THIS <extra_id_1> because IT IS <extra_id_2>,<extra_id_0> BUY <extra_id_1> CAR <extra_id_2> FAST <extra_id_3>
12892,I should <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me a <extra_id_4> <extra_id_5>,<extra_id_0> drink <extra_id_1> milk <extra_id_2> milk <extra_id_3> give <extra_id_4> nice <extra_id_5> body <extra_id_6>
12896,I should <extra_id_0> this <extra_id_1> <extra_id_2> because it is <extra_id_3>,<extra_id_0> drink <extra_id_1> dairy <extra_id_2> queens <extra_id_3> milky <extra_id_4>
12900,I should <extra_id_0> some <extra_id_1> because I will <extra_id_2> faster.,<extra_id_0> buy <extra_id_1> milk <extra_id_2> run <extra_id_3>
12904,I should <extra_id_0> <extra_id_1> because <extra_id_2> are <extra_id_3> of <extra_id_4> and other essential nutrients. ,<extra_id_0> eat <extra_id_1> peanuts <extra_id_2> peanuts <extra_id_3> full <extra_id_4> protein <extra_id_5>
12905,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> will <extra_id_5> me the energy to achieve my <extra_id_6>,<extra_id_0> eat <extra_id_1> Planters <extra_id_2> Peanuts <extra_id_3> Planters <extra_id_4> Peanuts <extra_id_5> give <extra_id_6> goals <extra_id_7>
12906,I should <extra_id_0> some <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> are delicious.,<extra_id_0> buy <extra_id_1> Planters <extra_id_2> nuts <extra_id_3> Planters <extra_id_4> nuts <extra_id_5>
12907,I should <extra_id_0> <extra_id_1> because <extra_id_2> will help me be great.,<extra_id_0> eat <extra_id_1> Peanuts <extra_id_2> Peanuts <extra_id_3>
12908,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> are <extra_id_5> ,<extra_id_0> eat <extra_id_1> Planters <extra_id_2> peanuts <extra_id_3> Planters <extra_id_4> peanuts <extra_id_5> nutritious <extra_id_6>
12909,"I should go to the store and buy this <extra_id_0> of <extra_id_1> because this <extra_id_2> of <extra_id_3> is a fashionable, <extra_id_4> <extra_id_5> to smoke. ",<extra_id_0> brand <extra_id_1> cigarette <extra_id_2> brand <extra_id_3> cigarette <extra_id_4> unusual <extra_id_5> cigarette <extra_id_6>
12910,I should <extra_id_0> because it will <extra_id_1> me <extra_id_2> ,<extra_id_0> smoke <extra_id_1> make <extra_id_2> creative <extra_id_3>
12911,I should <extra_id_0> <extra_id_1> because <extra_id_2> romantic.,<extra_id_0> buy <extra_id_1> cigarettes <extra_id_2> cigarettes <extra_id_3>
12912,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because they last a while.,<extra_id_0> buy <extra_id_1> Ecofill <extra_id_2> ink <extra_id_3> cartridges <extra_id_4>
12913,I should use <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> will last <extra_id_6> than other brands.,<extra_id_0> Ecofill <extra_id_1> printer <extra_id_2> ink <extra_id_3> Ecofill <extra_id_4> printer <extra_id_5> ink <extra_id_6> longer <extra_id_7>
12914,I should not let <extra_id_0> <extra_id_1> out because it <extra_id_2> me from <extra_id_3> ,<extra_id_0> yellow <extra_id_1> run <extra_id_2> protects <extra_id_3> bees <extra_id_4>
12915,I should <extra_id_0> <extra_id_1> because the <extra_id_2> are <extra_id_3>,<extra_id_0> fly <extra_id_1> Iberia <extra_id_2> fares <extra_id_3> low <extra_id_4>
12918,I should use this <extra_id_0> because this <extra_id_1> can take me to <extra_id_2> I love.,<extra_id_0> airline <extra_id_1> airline <extra_id_2> places <extra_id_3>
12921,I should <extra_id_0> a <extra_id_1> to <extra_id_2> <extra_id_3> <extra_id_4> because I will love the experience to <extra_id_5> with <extra_id_6> Airlines. ,<extra_id_0> buy <extra_id_1> ticket <extra_id_2> fly <extra_id_3> Iberia <extra_id_4> Airlines <extra_id_5> fly <extra_id_6> Iberia <extra_id_7>
12924,I should <extra_id_0> with <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> have the best fares. ,<extra_id_0> fly <extra_id_1> Iberia <extra_id_2> airlines <extra_id_3> Iberia <extra_id_4> airlines <extra_id_5>
12927,I should <extra_id_0> by <extra_id_1> more because then I can see more <extra_id_2> places.,<extra_id_0> travel <extra_id_1> plane <extra_id_2> beautiful <extra_id_3>
12930,I should <extra_id_0> out for <extra_id_1> while <extra_id_2> because not <extra_id_3> could lead to a fatal accident.,<extra_id_0> watch <extra_id_1> cyclists <extra_id_2> driving <extra_id_3> watching <extra_id_4>
12931,I should look for <extra_id_0> when <extra_id_1> because it could <extra_id_2> a <extra_id_3> and prevent <extra_id_4>,<extra_id_0> bikers <extra_id_1> driving <extra_id_2> save <extra_id_3> life <extra_id_4> accidents <extra_id_5>
12932,I should look while I'm <extra_id_0> my <extra_id_1> because it can cause <extra_id_2> if I don't ,<extra_id_0> riding <extra_id_1> bike <extra_id_2> accidents <extra_id_3>
12933,I should look before <extra_id_0> because there could be <extra_id_1>,<extra_id_0> turning <extra_id_1> bicyclists <extra_id_2>
12934,I should be <extra_id_0> of <extra_id_1> in the <extra_id_2> <extra_id_3> because it is easy to miss <extra_id_4> in the <extra_id_5> <extra_id_6> and get into a wreck.,<extra_id_0> mindful <extra_id_1> people <extra_id_2> bike <extra_id_3> lane <extra_id_4> people <extra_id_5> bike <extra_id_6> lane <extra_id_7>
12935,I should <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3>,<extra_id_0> eat <extra_id_1> pistachios <extra_id_2> pistachiosre <extra_id_3> wonderful <extra_id_4>
12937,I should <extra_id_0> <extra_id_1> because <extra_id_2> are wonderful. ,<extra_id_0> buy <extra_id_1> Pistachios <extra_id_2> Pistachios <extra_id_3>
12941,<extra_id_0> THIS <extra_id_1> <extra_id_2> ARE <extra_id_3>,<extra_id_0> BUY <extra_id_1> FOOD <extra_id_2> becauseTHEY <extra_id_3> WONDERFUL <extra_id_4>
12943,I should <extra_id_0> these <extra_id_1> because these <extra_id_2> are wonderful.,<extra_id_0> buy <extra_id_1> nuts <extra_id_2> nuts <extra_id_3>
12945,I shouldn't <extra_id_0> and <extra_id_1> because it <extra_id_2>,<extra_id_0> drink <extra_id_1> drive <extra_id_2> kills <extra_id_3>
12948,I should enjoy <extra_id_2>ing <extra_id_0> <extra_id_1> but not <extra_id_4> and <extra_id_3> because if you drink <extra_id_5> <extra_id_6> and <extra_id_7> you might have a car accident and smash your car like what is shown on the bottle.,<extra_id_0> Absolut <extra_id_1> vodka <extra_id_2> drink <extra_id_3> drive <extra_id_4> drink <extra_id_5> Absolut <extra_id_6> vodka <extra_id_7> drive <extra_id_8>
12951,I should not <extra_id_0> and <extra_id_1>  because it could be <extra_id_2> ,<extra_id_0> drink <extra_id_1> drive <extra_id_2> fatal <extra_id_3>
12954,I should not <extra_id_0> and <extra_id_1> because it could be <extra_id_2> to myself or someone else&#13;,<extra_id_0> drink <extra_id_1> drive <extra_id_2> fatal <extra_id_3>
12957,I should not <extra_id_0> and <extra_id_1> because it could cause a <extra_id_2> accident.,<extra_id_0> drink <extra_id_1> drive <extra_id_2> deadly <extra_id_3>
12960,I should not <extra_id_0> because <extra_id_1> kills. ,<extra_id_0> smoke <extra_id_1> smoking <extra_id_2>
12963,I should <extra_id_0> <extra_id_1> because it's like a <extra_id_2> <extra_id_3>,<extra_id_0> quit <extra_id_1> smoking <extra_id_2> loaded <extra_id_3> gun <extra_id_4>
12966,I should <extra_id_0> <extra_id_1> because I am <extra_id_2> a <extra_id_3> game with my health.,<extra_id_0> stop <extra_id_1> smoking <extra_id_2> playing <extra_id_3> dangerous <extra_id_4>
12969,I should use <extra_id_0> <extra_id_1> to <extra_id_2> <extra_id_3> because <extra_id_4> France're the best way to <extra_id_5> to Europe.,<extra_id_0> Air <extra_id_1> France <extra_id_2> travel <extra_id_3> overseas <extra_id_4> Air <extra_id_5> travel <extra_id_6>
12970,I should <extra_id_0> a <extra_id_1> on <extra_id_2> <extra_id_3> because it's the gateway to <extra_id_4> and getting where I want to be. ,<extra_id_0> buy <extra_id_1> flight <extra_id_2> Air <extra_id_3> France <extra_id_4> Europe <extra_id_5>
12971,I should <extra_id_0> with <extra_id_1> <extra_id_2> because it will take me to <extra_id_3> the gateway to Europe. ,<extra_id_0> fly <extra_id_1> Air <extra_id_2> France <extra_id_3> Paris <extra_id_4>
12972,I should <extra_id_0> this <extra_id_1> <extra_id_2> because this <extra_id_3> <extra_id_4> will <extra_id_5> your <extra_id_6> look and <extra_id_7> better.,<extra_id_0> buy <extra_id_1> skin <extra_id_2> cream <extra_id_3> skin <extra_id_4> cream <extra_id_5> make <extra_id_6> skin <extra_id_7> feel <extra_id_8>
12973,I should <extra_id_0> this <extra_id_1> <extra_id_2> because I want to <extra_id_3> fresh and moisturized.,<extra_id_0> buy <extra_id_1> skin <extra_id_2> cream <extra_id_3> feel <extra_id_4>
12974,I should <extra_id_0> <extra_id_1> because <extra_id_2> is moisturizing.,<extra_id_0> buy <extra_id_1> Clinique <extra_id_2> Clinique <extra_id_3>
12975,I should <extra_id_0> the <extra_id_1>  because the <extra_id_2>   is a <extra_id_3> <extra_id_4> ,<extra_id_0> ride <extra_id_1> train <extra_id_2> train <extra_id_3> leisurely <extra_id_4> activity <extra_id_5>
12977,I should take a <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> when I get aboard. ,<extra_id_0> train <extra_id_1> ride <extra_id_2> leisure <extra_id_3> begins <extra_id_4>
12979,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> will <extra_id_3> me <extra_id_4> time to enjoy.,<extra_id_0> ride <extra_id_1> train <extra_id_2> train <extra_id_3> give <extra_id_4> free <extra_id_5>
12981,I should <extra_id_0> <extra_id_1> because it's <extra_id_2>,<extra_id_0> ride <extra_id_1> SBB <extra_id_2> leisurely <extra_id_3>
12983,I should take some <extra_id_0> of <extra_id_1> because it is <extra_id_2> ,<extra_id_0> sort <extra_id_1> train <extra_id_2> leisurely <extra_id_3>
12985,I should use <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> is affordable.,<extra_id_0> STA <extra_id_1> Travel <extra_id_2> STA <extra_id_3> Travel <extra_id_4>
12986,I should <extra_id_0> with <extra_id_1> <extra_id_2> because it is a <extra_id_3> and <extra_id_4> way to travel.,<extra_id_0> shop <extra_id_1> STA <extra_id_2> Travel <extra_id_3> cheap <extra_id_4> sexy <extra_id_5>
12987,I should use <extra_id_0> <extra_id_1> because they will help me <extra_id_2> <extra_id_3> <extra_id_4> ,<extra_id_0> Sta <extra_id_1> Travel <extra_id_2> find <extra_id_3> cheap <extra_id_4> trips <extra_id_5>
12988,I should <extra_id_0> <extra_id_1> because I want to be <extra_id_2> like the Hulk.,<extra_id_0> eat <extra_id_1> Pringles <extra_id_2> strong <extra_id_3>
12989,I <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> won't <extra_id_4> me <extra_id_5>,<extra_id_0> shoul <extra_id_1> buy <extra_id_2> pringles <extra_id_3> pringles <extra_id_4> make <extra_id_5> angry <extra_id_6>
12990,<extra_id_0> THESE <extra_id_1> because THERE IS A <extra_id_2>,<extra_id_0> BUY <extra_id_1> CHIPS <extra_id_2> COUPON <extra_id_3>
12991,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is <extra_id_5> and <extra_id_6> ,<extra_id_0> buy <extra_id_1> Haagen-Dazs <extra_id_2> ice-cream <extra_id_3> Haagen-Dazs <extra_id_4> ice-cream <extra_id_5> delicious <extra_id_6> pleasurable <extra_id_7>
12994,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> <extra_id_6>,<extra_id_0> eat <extra_id_1> Haagen <extra_id_2> Dazs <extra_id_3> Haagen <extra_id_4> Dazs <extra_id_5> taste <extra_id_6> good <extra_id_7>
12995,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> <extra_id_6> <extra_id_7> <extra_id_8>,<extra_id_0> eat <extra_id_1> Haagen <extra_id_2> Dazs <extra_id_3> Haagen <extra_id_4> Dazs <extra_id_5> Haagen <extra_id_6> Dazs <extra_id_7> taste <extra_id_8> good <extra_id_9>
12996,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> <extra_id_6> <extra_id_7> <extra_id_8> <extra_id_9>,<extra_id_0> eat <extra_id_1> Haagen <extra_id_2> Dazs <extra_id_3> Haagen <extra_id_4> Dazs <extra_id_5> Haagen <extra_id_6> Haagen <extra_id_7> Dazs <extra_id_8> taste <extra_id_9> good <extra_id_10>
12997,I should get a <extra_id_0> <extra_id_1> <extra_id_2> because a <extra_id_3> <extra_id_4> <extra_id_5> looks <extra_id_6> on the ad,<extra_id_0> Haagen-Dazs <extra_id_1> tiramisu <extra_id_2> ice-cream <extra_id_3> Haagen-Dazs <extra_id_4> tiramisu <extra_id_5> ice-cream <extra_id_6> delicious <extra_id_7>
13001,because,<extra_id_0>
13002,I should <extra_id_0> Asia's Next <extra_id_1> <extra_id_2> because it has pretty <extra_id_3> ,<extra_id_0> watch <extra_id_1> top <extra_id_2> model <extra_id_3> women <extra_id_4>
13003,I should <extra_id_0> with <extra_id_1> because <extra_id_2> have <extra_id_3> <extra_id_4>,<extra_id_0> shop <extra_id_1> tunit <extra_id_2> tunit <extra_id_3> soccer <extra_id_4> equipment <extra_id_5>
13005,I should <extra_id_0> these <extra_id_1> <extra_id_2> because these <extra_id_3> <extra_id_4> are very <extra_id_5> tech.,<extra_id_0> buy <extra_id_1> soccer <extra_id_2> shoes <extra_id_3> soccer <extra_id_4> shoes <extra_id_5> high <extra_id_6>
13007,I should <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me <extra_id_4> better ,<extra_id_0> wear <extra_id_1> Adidas <extra_id_2> Adidas <extra_id_3> make <extra_id_4> perform <extra_id_5>
13009,I should <extra_id_0> GE because it is better for the <extra_id_1> and helps <extra_id_2> water`,<extra_id_0> buy <extra_id_1> environment <extra_id_2> save <extra_id_3>
13011,I should use this <extra_id_0> because this <extra_id_1> <extra_id_2> <extra_id_3> in a drought.,<extra_id_0> company <extra_id_1> company <extra_id_2> supply <extra_id_3> water <extra_id_4>
13013,I should <extra_id_0> GE because GE want to <extra_id_1> <extra_id_2> to <extra_id_3> that have none.,<extra_id_0> support <extra_id_1> provide <extra_id_2> water <extra_id_3> places <extra_id_4>
13015,I should not <extra_id_0> and <extra_id_1> because it <extra_id_2> <extra_id_3> <extra_id_4>,<extra_id_0> drink <extra_id_1> drive <extra_id_2> kills <extra_id_3> driving <extra_id_4> skills <extra_id_5>
13016,I should not <extra_id_0> and <extra_id_1> because <extra_id_2> and <extra_id_3> kills. ,<extra_id_0> drink <extra_id_1> drive <extra_id_2> drinking <extra_id_3> driving <extra_id_4>
13017,I should not <extra_id_0> and <extra_id_1> because <extra_id_2> <extra_id_3>,<extra_id_0> drink <extra_id_1> drive <extra_id_2> driving <extra_id_3> kills <extra_id_4>
13018,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> has a <extra_id_5> tomato <extra_id_6> ,<extra_id_0> eat <extra_id_1> Heinz <extra_id_2> ketchup <extra_id_3> Heinz <extra_id_4> ketchup <extra_id_5> strong <extra_id_6> flavor <extra_id_7>
13019,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is <extra_id_5> with real tomatoes.,<extra_id_0> buy <extra_id_1> Heinz <extra_id_2> Ketchup <extra_id_3> Heinz <extra_id_4> Ketchup <extra_id_5> made <extra_id_6>
13020,I SHOULD <extra_id_0> <extra_id_1> <extra_id_2> because IT <extra_id_3> LIKE FRESH TOMATOES.,<extra_id_0> BUY <extra_id_1> HEINZ <extra_id_2> KETCUP <extra_id_3> TASTES <extra_id_4>
13021,I should <extra_id_0> <extra_id_1> because <extra_id_2> are <extra_id_3> to eat.,<extra_id_0> buy <extra_id_1> Pringles <extra_id_2> Pringles <extra_id_3> fun <extra_id_4>
13022,I should <extra_id_0> <extra_id_1> because the ad is <extra_id_2> pleasing.,<extra_id_0> buy <extra_id_1> Pringles <extra_id_2> aesthetically <extra_id_3>
13023,I should <extra_id_0> <extra_id_1> because <extra_id_2> are <extra_id_3> to eat.,<extra_id_0> eat <extra_id_1> Pringles <extra_id_2> Pringles <extra_id_3> fun <extra_id_4>
13024,<extra_id_0> THIS <extra_id_1> because <extra_id_2> THIS <extra_id_3>,<extra_id_0> BUY <extra_id_1> FOOD <extra_id_2> BUY <extra_id_3> GOOD <extra_id_4>
13025,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> are fun.,<extra_id_0> buy <extra_id_1> pop <extra_id_2> tarts <extra_id_3> pop <extra_id_4> tarts <extra_id_5>
13026,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5>,<extra_id_0> buy <extra_id_1> pop <extra_id_2> tarts <extra_id_3> pop <extra_id_4> tarts <extra_id_5> fun <extra_id_6>
13027,I should <extra_id_0> <extra_id_1> because <extra_id_2> are unique.,<extra_id_0> chew <extra_id_1> Chiclets <extra_id_2> Chiclets <extra_id_3>
13030,I should <extra_id_0> <extra_id_1> because you can <extra_id_2> with chiclets.,<extra_id_0> buy <extra_id_1> chiclets <extra_id_2> build <extra_id_3>
13033,I should <extra_id_0> <extra_id_1> because you can do <extra_id_2> <extra_id_3> with Chiclets.,<extra_id_0> buy <extra_id_1> Chiclets <extra_id_2> fun <extra_id_3> things <extra_id_4>
13036,I should <extra_id_0> <extra_id_1> because you can <extra_id_2> <extra_id_3> <extra_id_4> with <extra_id_5> ,<extra_id_0> chew <extra_id_1> Chicklets <extra_id_2> create <extra_id_3> cool <extra_id_4> things <extra_id_5> Chicklets <extra_id_6>
13039,I should <extra_id_0> <extra_id_1> because <extra_id_2> have <extra_id_3> <extra_id_4>,<extra_id_0> chew <extra_id_1> Chiclets <extra_id_2> Chiclets <extra_id_3> great <extra_id_4> ideas <extra_id_5>
